country,cases,deaths,recovered,critical,active,mortality_rate,critical_ratio
Curaçao,45986,295,44720,3,971,0.64,0.31
Cyprus,681110,1365,679745,0,0,0.2,0.0
Czechia,4759041,43517,4715206,2,318,0.91,0.63
Côte d'Ivoire,88384,835,87497,0,52,0.94,0.0
DRC,99338,1468,84489,0,13381,1.48,0.0
Denmark,3183756,8814,3174942,0,0,0.28,0.0
Diamond Princess,712,13,699,0,0,1.83,0.0
Djibouti,15690,189,15427,0,74,1.2,0.0
Dominica,16038,74,15964,0,0,0.46,0.0
Dominican Republic,675890,4384,671316,4,190,0.65,2.11
Ecuador,1070188,36043,1034145,0,0,3.37,0.0
Egypt,516023,24613,442182,122,49228,4.77,0.25
El Salvador,201855,4230,179410,0,18215,2.1,0.0
Equatorial Guinea,17229,183,16907,5,139,1.06,3.6
Eritrea,10189,103,10086,0,0,1.01,0.0
Estonia,628070,3001,0,0,625069,0.48,0.0
Ethiopia,501157,7574,488171,0,5412,1.51,0.0
Falkland Islands (Malvinas),1930,0,1930,0,0,0.0,0.0
Faroe Islands,34658,28,0,0,34630,0.08,0.0
Fiji,69117,885,67226,0,1006,1.28,0.0
Finland,1516117,11958,1503989,0,170,0.79,0.0
France,40138560,167642,39970918,0,0,0.42,0.0
French Guiana,98041,420,11254,6,86367,0.43,0.01
French Polynesia,79254,650,0,0,78604,0.82,0.0
Gabon,49051,307,48674,0,70,0.63,0.0
Gambia,12626,372,12189,0,65,2.95,0.0
Georgia,1861665,17132,0,0,1844533,0.92,0.0
Germany,38828995,183027,38240600,0,405368,0.47,0.0
Ghana,171889,1462,170425,0,2,0.85,0.0
Gibraltar,20550,113,0,0,20437,0.55,0.0
Greece,6101379,37869,0,0,6063510,0.62,0.0
Greenland,11971,21,2761,4,9189,0.18,0.04
Grenada,19693,238,19358,4,97,1.21,4.12
Guadeloupe,203235,1021,0,0,202214,0.5,0.0
Guatemala,1291293,20289,1269891,5,1113,1.57,0.45
Guinea,38572,468,37757,0,347,1.21,0.0
Guinea-Bissau,9614,177,8929,6,508,1.84,1.18
Guyana,74137,1300,72013,0,824,1.75,0.0
Haiti,34667,860,33734,0,73,2.48,0.0
Holy See (Vatican City State),29,0,29,0,0,0.0,0.0
Honduras,474590,11165,0,0,463425,2.35,0.0
Hong Kong,2937609,14924,2916005,0,6680,0.51,0.0
Hungary,2230232,49048,2152155,0,29029,2.2,0.0
Iceland,209906,229,0,0,209677,0.11,0.0
India,45035393,533570,0,0,44501823,1.18,0.0
Indonesia,6829221,162063,6647104,0,20054,2.37,0.0
Iran,7627186,146811,0,0,7480375,1.92,0.0
Iraq,2465545,25375,2439497,0,673,1.03,0.0
Ireland,1734582,9491,1724921,19,170,0.55,11.18
Isle of Man,38008,116,0,0,37892,0.31,0.0
Israel,4841772,12707,4798473,0,30592,0.26,0.0
Italy,26723249,196487,26361218,22,165544,0.74,0.01
Jamaica,156869,3756,0,0,153113,2.39,0.0
Japan,33803572,74694,0,0,33728878,0.22,0.0
Jordan,1746997,14122,1731007,59,1868,0.81,3.16
Kazakhstan,1411831,13848,1383020,24,14963,0.98,0.16
Kenya,344130,5689,337309,0,1132,1.65,0.0
Kiribati,5085,24,2703,3,2358,0.47,0.13
Kuwait,667158,2570,0,0,664588,0.39,0.0
Kyrgyzstan,206897,2991,196406,131,7500,1.45,1.75
Lao People's Democratic Republic,218970,758,0,0,218212,0.35,0.0
Latvia,982505,6715,971406,0,4384,0.68,0.0
Lebanon,1243838,10952,1087587,74,145299,0.88,0.05
Lesotho,36138,723,25980,0,9435,2.0,0.0
Liberia,8090,295,7783,2,12,3.65,16.67
Libyan Arab Jamahiriya,507274,6437,500835,0,2,1.27,0.0
Liechtenstein,21574,94,0,0,21480,0.44,0.0
Lithuania,1397806,9897,1387478,0,431,0.71,0.0
